recordid				Tax_id				g_id				gname				name1				Nucleotide sequence				Protein sequence				Protein Structures				Temperature class				Growth Temperature				Optimal Growth Temperature
2				272557				56635				Aeropyrum				Aeropyrum pernix K1				0				0				0				hyperthermophilic				90C~95¢XC				
3				273075				2302				Thermoplasma				Thermoplasma acidophilum DSM 1728				0				0				0				thermophilic				59¢XC				40C~62¢XC
5				160846				63742				Natrialba				Natrialba taiwanensis				0				0				0				mesophilic				35C~40¢XC				<=55¢XC
15				182779				2237				Haloarcula				Haloarcula quadrata				0				0				0				thermophilic				53¢XC				50C~53¢XC
20				7				6				Azorhizobium				Azorhizobium caulinodans				52				170				0				mesophilic								30¢XC
21				9				32199				Buchnera				Buchnera aphidicola				419				933				0												
22				14				13				Dictyoglomus				Dictyoglomus thermophilum				13				23				1				thermophilic				70¢XC				
23				17				16				Methylophilus				Methylophilus methylotrophus				22				98				8				mesophilic								30¢XC
24				19				18				Pelobacter				Pelobacter carbinolicus				11				29				0												
25				23				22				Shewanella				Shewanella colwelliana				7				11				0				mesophilic								26¢XC
26				24				22				Shewanella				Shewanella putrefaciens				114				90				7				mesophilic				25C~35¢XC				4C~35¢XC
27				25				22				Shewanella				Shewanella hanedai				12				14				0				mesophilic				25¢XC				4C~25¢XC
28				34				32				Myxococcus				Myxococcus xanthus				260				789				6				mesophilic				30¢XC				
29				41				40				Stigmatella				Stigmatella aurantiaca				42				107				0				mesophilic				30¢XC				
30				56				55				Polyangium				Polyangium cellulosum				135				65				3				psychrophilic				0¢XC				
31				61				59				Vitreoscilla				Vitreoscilla stercoraria				5				12				4				mesophilic				22¢XC				
32				65				64				Herpetosiphon				Herpetosiphon aurantiacus				12				63				0				mesophilic								30¢XC
33				69				68				Lysobacter				Lysobacter enzymogenes				15				71				39				psychrophilic				0¢XC				
34				78				75				Caulobacter				Caulobacter sp.				34				2				0												
35				82				81				Hyphomicrobium				Hyphomicrobium sp.				15				14				0												
36				84				81				Hyphomicrobium				Hyphomicrobium methylovorum				8				23				1				mesophilic				28¢XC				
37				89				88				Leptothrix				Leptothrix discophora				9				12				0				psychrophilic				0¢XC				
38				114				113				Gemmata				Gemmata obscuriglobus				50				0				0												
39				117				123				Pirellula				Pirellula sp.				19				140				0												
40				124				123				Pirellula				Pirellula marina				36				4				0												
41				139				138				Borrelia				Borrelia burgdorferi				1702				3558				10				mesophilic				30¢XC				
42				140				138				Borrelia				Borrelia hermsii				122				173				0				mesophilic				35¢XC				
43				141				138				Borrelia				Borrelia parkeri				17				19				0				mesophilic				35¢XC				
44				142				138				Borrelia				Borrelia turicatae				28				38				0				mesophilic				35¢XC				
45				145				138				Borrelia				Borrelia sp.				26				16				0												
46				147				146				Spirochaeta				Spirochaeta aurantia				13				25				0				mesophilic								30¢XC
47				158				157				Treponema				Treponema denticola				69				147				2				mesophilic				37¢XC				30C~42¢XC
48				159				29521				Brachyspira				Brachyspira hyodysenteriae				49				89				0				mesophilic								37¢XC
49				160				157				Treponema				Treponema pallidum				263				886				3				mesophilic				37¢XC				
50				161				1157				Treponema pallidum				Treponema pallidum subsp. pallidum				141				1172				0				mesophilic				37¢XC				
51				162				157				Treponema				Treponema phagedenis				12				29				0				mesophilic				37¢XC				
52				163				157				Treponema				Treponema bryantii				2				1				0				mesophilic				37¢XC				
53				166				157				Treponema				Treponema sp.				20				1				0												
54				168				157				Treponema				Treponema pallidum subsp. pertenue				18				16				0				mesophilic				37¢XC				
55				172				171				Leptospira				Leptospira biflexa				35				32				0				psychrophilic								13¢XC
56				173				171				Leptospira				Leptospira interrogans				162				564				1				psychrophilic								13¢XC
57				174				171				Leptospira				Leptospira borgpetersenii				85				103				0												
58				180				179				Leptospirillum				Leptospirillum ferrooxidans				129				169				0												
59				183				32205				Leptonema				Leptonema illini				15				1				0												
60				188				13134				Magnetospirillum				Magnetospirillum magnetotacticum				3901				10180				0				mesophilic								30¢XC
61				192				191				Azospirillum				Azospirillum brasilense				113				424				1												
62				193				191				Azospirillum				Azospirillum lipoferum				21				13				0				mesophilic								30¢XC
63				195				194				Campylobacter				Campylobacter coli				140				138				0				mesophilic								30C~43¢XC
64				196				194				Campylobacter				Campylobacter fetus				36				77				0				mesophilic								25¢XC
65				197				194				Campylobacter				Campylobacter jejuni				783				3214				8				mesophilic								42¢XC
66				201				194				Campylobacter				Campylobacter lari				68				40				0				mesophilic								37¢XC
67				203				194				Campylobacter				Campylobacter rectus				12				14				0				mesophilic								37¢XC
68				206				194				Campylobacter				Campylobacter sputorum				19				0				0				mesophilic								42¢XC
69				210				209				Helicobacter				Helicobacter pylori				9988				8695				24				mesophilic				37¢XC				
70				213				209				Helicobacter				Helicobacter cinaedi				17				4				0												
71				214				209				Helicobacter				Helicobacter felis				54				55				0				mesophilic								37¢XC
72				217				209				Helicobacter				Helicobacter mustelae				21				33				0				mesophilic								37¢XC
73				218				209				Helicobacter				Helicobacter sp.				146				125				0												
74				223				222				Achromobacter				Achromobacter cycloclastes				9				49				14												
75				224				222				Achromobacter				Achromobacter lyticus				3				18				2												
76				227				53246				Pseudoalteromonas				Pseudoalteromonas carrageenovora				4				12				1				mesophilic								22¢XC
77				228				53246				Pseudoalteromonas				Pseudoalteromonas haloplanktis				38				57				12				mesophilic								26¢XC
78				232				226				Alteromonas				Alteromonas sp.				15				23				1												
79				238				59732				Chryseobacterium				Chryseobacterium meningosepticum				76				113				15				mesophilic								37¢XC
80				239				237				Flavobacterium				Flavobacterium sp.				39				47				1												
81				244				162291				Planomicrobium				Planomicrobium okeanokoites				14				9				2												
82				253				59732				Chryseobacterium				Chryseobacterium indologenes				20				13				0				mesophilic								30¢XC
83				263				262				Francisella				Francisella tularensis				220				55				0												
